dataset,backend,dl_mode,threads,seqlen,batch_size,elapsed_ns,rss_bytes
1KGP,svar,none,32,1048576,8192,125180951985,41014206464
1KGP,svar,none,32,1048576,8192,125754345851,47662505984
1KGP,svar,none,32,1048576,8192,126292868777,51584180224
1KGP,svar,none,32,1048576,8192,126813868991,39089577984
1KGP,svar,none,32,1048576,8192,127373148718,45984755712
1KGP,svar,none,32,1048576,8192,127931577854,50344734720
1KGP,svar,none,32,1048576,8192,128492544142,36717436928
1KGP,svar,none,32,1048576,8192,129060475559,43623575552
1KGP,svar,none,32,1048576,8192,129638702710,49524961280
1KGP,svar,none,32,1048576,8192,130160512343,53220143104
1KGP,svar,none,32,1048576,8192,130677061767,41429913600
1KGP,svar,none,32,1048576,8192,131260987961,48308838400
1KGP,svar,none,32,1048576,8192,131783092289,52266164224
1KGP,svar,none,32,1048576,8192,132304590198,39139135488
1KGP,svar,none,32,1048576,8192,132881507910,46381477888
1KGP,svar,none,32,1048576,8192,133456568102,51878113280
1KGP,svar,none,32,1048576,8192,133978352011,38892261376
1KGP,svar,none,32,1048576,8192,134556858794,46224732160
1KGP,svar,none,32,1048576,8192,135139515286,53367631872
1KGP,svar,none,32,1048576,8192,135682157314,41239760896
1KGP,svar,none,32,1048576,8192,136252028101,48566669312
1KGP,svar,none,32,1048576,8192,136846434335,54673395712
1KGP,svar,none,32,1048576,8192,137368536240,42821279744
1KGP,svar,none,32,1048576,8192,137934980141,49824382976
1KGP,svar,none,32,1048576,8192,138523837990,54897393664
1KGP,svar,none,32,1048576,8192,139045308510,42821578752
1KGP,svar,none,32,1048576,8192,139646053671,50246594560
1KGP,svar,none,32,1048576,8192,140183960729,54556168192
1KGP,svar,none,32,1048576,8192,140705522654,42710978560
1KGP,svar,none,32,1048576,8192,141302434055,50507022336
1KGP,svar,none,32,1048576,8192,141875876490,38744084480
1KGP,svar,none,32,1048576,8192,142454235589,45976088576
1KGP,svar,none,32,1048576,8192,143035792116,52789735424
1KGP,svar,none,32,1048576,8192,143580499093,40883707904
1KGP,svar,none,32,1048576,8192,144145389648,47987150848
1KGP,svar,none,32,1048576,8192,144723527761,54085668864
1KGP,svar,none,32,1048576,8192,145260222985,41575145472
1KGP,svar,none,32,1048576,8192,145834543645,48878530560
1KGP,svar,none,32,1048576,8192,146408795473,54276599808
1KGP,svar,none,32,1048576,8192,146930076079,41868345344
1KGP,svar,none,32,1048576,8192,147498836950,49000443904
1KGP,svar,none,32,1048576,8192,148039917824,54004248576
1KGP,svar,none,32,1048576,8192,148561530249,41050566656
1KGP,svar,none,32,1048576,8192,149140897952,48205873152
1KGP,svar,none,32,1048576,8192,149681635260,52152713216
1KGP,svar,none,32,1048576,8192,150202565278,55831117824
1KGP,svar,none,32,1048576,8192,150718623927,44288901120
1KGP,svar,none,32,1048576,8192,151289377272,50284658688
1KGP,svar,none,32,1048576,8192,151810819707,53954674688
1KGP,svar,none,32,1048576,8192,152327345150,40638586880
1KGP,svar,none,32,1048576,8192,152897173105,47605661696
1KGP,svar,none,32,1048576,8192,153463170222,51990806528
1KGP,svar,none,32,1048576,8192,153984405214,55648239616
1KGP,svar,none,32,1048576,8192,154500985368,43740614656
1KGP,svar,none,32,1048576,8192,155090622949,50926891008
1KGP,svar,none,32,1048576,8192,155630362986,55072960512
1KGP,svar,none,32,1048576,8192,156151690098,42528309248
1KGP,svar,none,32,1048576,8192,156723766179,49650810880
1KGP,svar,none,32,1048576,8192,157297289078,55644209152
1KGP,svar,none,32,1048576,8192,157820006805,42769666048
1KGP,svar,none,32,1048576,8192,158388480804,49814876160
1KGP,svar,none,32,1048576,8192,158918801883,54785126400
1KGP,svar,none,32,1048576,8192,159440400480,41695449088
1KGP,svar,none,32,1048576,8192,160004284671,48746553344
1KGP,svar,none,32,1048576,8192,160574951971,53928615936
1KGP,svar,none,32,1048576,8192,161098094595,40478449664
1KGP,svar,none,32,1048576,8192,161675887187,47755571200
1KGP,svar,none,32,1048576,8192,162230982909,52591603712
1KGP,svar,none,32,1048576,8192,162752291411,56251133952
1KGP,svar,none,32,1048576,8192,163268617769,44029116416
1KGP,svar,none,32,1048576,8192,163836241599,50942341120
1KGP,svar,none,32,1048576,8192,164374084189,55354748928
1KGP,svar,none,32,1048576,8192,164895375012,42855337984
1KGP,svar,none,32,1048576,8192,165467049121,49845960704
1KGP,svar,none,32,1048576,8192,165997810635,53654388736
1KGP,svar,none,32,1048576,8192,166519919333,57406193664
1KGP,svar,none,32,1048576,8192,167129856754,47242932224
1KGP,svar,none,32,1048576,8192,167708214949,53601370112
1KGP,svar,none,32,1048576,8192,168229005076,57382535168
1KGP,svar,none,32,1048576,8192,168745210389,46078058496
1KGP,svar,none,32,1048576,8192,169321977494,53457936384
1KGP,svar,none,32,1048576,8192,169887826663,41786376192
1KGP,svar,none,32,1048576,8192,170459514092,49037004800
1KGP,svar,none,32,1048576,8192,171028341582,55586410496
1KGP,svar,none,32,1048576,8192,171574930120,43981389824
1KGP,svar,none,32,1048576,8192,172144853171,50863730688
1KGP,svar,none,32,1048576,8192,172666296875,54760239104
1KGP,svar,none,32,1048576,8192,173209722582,40883380224
1KGP,svar,none,32,1048576,8192,173780075772,47857614848
1KGP,svar,none,32,1048576,8192,174352967754,53727367168
1KGP,svar,none,32,1048576,8192,174874049577,57584029696
1KGP,svar,none,32,1048576,8192,175394939370,46025613312
1KGP,svar,none,32,1048576,8192,175975869808,53275860992
1KGP,svar,none,32,1048576,8192,176516741917,58134962176
1KGP,svar,none,32,1048576,8192,177037320022,46393511936
1KGP,svar,none,32,1048576,8192,177613604953,53167316992
1KGP,svar,none,32,1048576,8192,178134537741,56856207360
1KGP,svar,none,32,1048576,8192,178650605431,43659321344
1KGP,svar,none,32,1048576,8192,179222413869,50762661888
1KGP,svar,none,32,1048576,8192,179775513166,55246372864
1KGP,svar,none,32,1048576,8192,180310526863,24300789760
1KGP,svar,none,32,1048576,8192,180375080616,24298713088
