dataset,threads,seqlen,batch_size,throughput (MiB/s)
1kgp,1,16384,2048,2913.206302198
1kgp,1,16384,2048,2948.704022798026
1kgp,1,16384,2048,2922.263214900064
1kgp,1,16384,2048,1963.841126461245
1kgp,1,1048576,16,2795.146659894607
1kgp,1,1048576,16,2836.83969157932
1kgp,1,1048576,16,2834.367093892048
1kgp,1,1048576,16,2857.377893541952
1kgp,1,1048576,16,2843.5456458382064
1kgp,2,2048,8,95.43999686941271
1kgp,2,2048,8,96.0264511948683
1kgp,2,2048,8,96.4409865501362
1kgp,2,2048,8,96.29160365589092
1kgp,2,2048,8,95.3834579980652
1kgp,2,2048,4,34.86316842843752
1kgp,2,2048,4,35.89153714977423
1kgp,2,2048,4,36.44564061593969
1kgp,2,2048,4,34.453149714367
1kgp,2,2048,4,35.12973385861964
1kgp,1,131072,128,1648.7975889065763
1kgp,1,131072,128,1884.4520433227522
1kgp,1,131072,128,2123.843590208106
1kgp,1,131072,128,1712.7157431685498
1kgp,1,131072,128,1619.0183705521526
1kgp,2,2048,16,376.9234725907631
1kgp,2,2048,16,379.07739349315267
1kgp,2,2048,16,201.4753747140636
1kgp,2,2048,16,189.9981341306818
1kgp,2,2048,16,191.28012487078254
1kgp,2,2048,32,842.2331541889447
1kgp,2,2048,32,852.4347363216332
1kgp,2,2048,32,876.5671580868151
1kgp,2,2048,32,878.6716783703979
1kgp,2,2048,32,877.5234063161153
1kgp,2,2048,128,709.3727289246767
1kgp,2,2048,128,714.0144269211339
1kgp,2,2048,128,916.5283676357893
1kgp,2,2048,128,1311.8689743062564
1kgp,2,2048,128,1244.837977286572
1kgp,2,2048,256,1597.54755754149
1kgp,2,2048,256,1650.8842377043682
1kgp,2,2048,256,1654.2940766290442
1kgp,2,2048,256,1661.1307092422012
1kgp,2,2048,256,1650.3059390031644
1kgp,2,2048,64,441.9358593425594
1kgp,2,2048,64,437.81308940488054
1kgp,2,2048,64,442.04459182353315
1kgp,2,2048,64,445.78555252190176
1kgp,2,2048,64,443.5418872606424
1kgp,2,2048,512,2221.219278715757
1kgp,2,2048,512,2222.577854866277
1kgp,2,2048,512,2247.0401928623282
1kgp,2,2048,512,2282.516817972378
1kgp,2,2048,512,2280.4815606662096
1kgp,1,131072,256,1975.8312979080256
1kgp,1,131072,256,2899.7135046051862
1kgp,1,131072,256,3018.34447353832
1kgp,1,131072,256,2979.025516430278
1kgp,1,131072,256,2943.3771198167797
1kgp,2,2048,1024,1872.7575485957184
1kgp,2,2048,1024,1779.9679528565478
1kgp,2,2048,1024,1724.7216515183914
1kgp,2,2048,1024,1855.4986395410624
1kgp,2,2048,1024,2059.2561920353805
1kgp,2,2048,2048,2515.96774809634
1kgp,2,2048,2048,2761.935835825734
1kgp,2,2048,2048,2128.458979326461
1kgp,2,2048,2048,2718.5188937527028
1kgp,2,2048,2048,2582.013557563278
1kgp,2,16384,1,264.15838100913214
1kgp,2,16384,1,269.2031501610023
1kgp,2,16384,1,276.7346803586522
1kgp,2,16384,1,261.5784388051615
1kgp,2,16384,1,234.71565977621785
1kgp,2,2048,4096,3396.210164574556
1kgp,2,2048,4096,3535.1229581137904
1kgp,2,2048,4096,3204.9570363693774
1kgp,2,2048,4096,2856.0358963182675
1kgp,2,2048,4096,2682.1626045202465
1kgp,2,16384,4,883.503444964762
1kgp,2,16384,4,886.7697319053232
1kgp,2,16384,4,889.9834283367935
1kgp,2,16384,4,859.8365117029946
1kgp,2,16384,4,863.883465335571
1kgp,2,16384,2,295.47090167745426
1kgp,2,16384,2,334.4861663231135
1kgp,2,16384,2,340.4783863695615
1kgp,2,16384,2,316.62792300739244
1kgp,2,16384,2,308.1898737462806
1kgp,2,16384,32,3727.920729653817
1kgp,2,16384,32,3777.072862641875
1kgp,2,16384,32,3819.3097290381243
1kgp,2,16384,32,3807.695984003548
1kgp,2,16384,32,3825.932652967404
1kgp,2,16384,8,1268.9281248300008
1kgp,2,16384,8,1282.5053335428388
1kgp,2,16384,8,1309.618066384592
1kgp,2,16384,8,1319.4012738385154
1kgp,2,16384,8,1303.4938957392537
1kgp,2,16384,16,1593.037763527024
