dataset,threads,seqlen,batch_size,throughput (MiB/s)
tcga-atac,2,131072,64,1849.1859632706073
tcga-atac,2,131072,64,1560.0052987917563
tcga-atac,2,131072,16,11580.333284007287
tcga-atac,2,131072,16,13380.992787070069
tcga-atac,2,131072,16,13386.218027750523
tcga-atac,2,131072,16,13153.113236915115
tcga-atac,2,131072,16,12675.646010591276
tcga-atac,2,2048,65536,664.061961575181
tcga-atac,2,2048,65536,672.6676475711931
tcga-atac,2,2048,65536,2861.881461915217
tcga-atac,2,2048,65536,2467.6437152642984
tcga-atac,2,2048,65536,532.229163707086
tcga-atac,2,131072,256,1265.6736719775975
tcga-atac,2,131072,256,1321.5754409777312
tcga-atac,2,131072,256,982.7476468829053
tcga-atac,2,131072,256,924.3110459881436
tcga-atac,2,131072,256,973.5714117932004
tcga-atac,2,131072,128,551.2056445828899
tcga-atac,2,131072,128,551.4900790869314
tcga-atac,2,131072,128,507.8972423585881
tcga-atac,2,131072,128,527.2902610105108
tcga-atac,2,131072,128,452.00016408480724
tcga-atac,2,16384,8192,715.0510496235603
tcga-atac,2,16384,8192,619.9934236484639
tcga-atac,2,16384,8192,473.6845173640673
tcga-atac,2,16384,8192,370.26587912977743
tcga-atac,2,16384,8192,519.1931254715746
tcga-atac,2,131072,2048,2071.4512858653998
tcga-atac,2,131072,2048,2119.4212248421245
tcga-atac,2,131072,2048,2209.5232374275997
tcga-atac,2,131072,2048,2502.562034292996
tcga-atac,2,131072,2048,2559.2941293867575
tcga-atac,2,131072,512,573.6715696331767
tcga-atac,2,131072,512,508.48178699257943
tcga-atac,2,131072,512,541.7061020560866
tcga-atac,2,131072,512,482.39780499170394
tcga-atac,2,131072,512,414.01887942243076
tcga-atac,2,1048576,2,14516.05608374415
tcga-atac,2,1048576,2,16588.93490479504
tcga-atac,2,1048576,2,16653.097493373345
tcga-atac,2,1048576,2,17171.783822756144
tcga-atac,2,1048576,2,17660.636410581956
tcga-atac,2,131072,1024,502.553349701809
tcga-atac,2,131072,1024,559.2337561852408
tcga-atac,2,131072,1024,532.9527366428384
tcga-atac,2,131072,1024,452.720976917901
tcga-atac,2,131072,1024,799.5849998450182
tcga-atac,2,2048,131072,1044.880610145953
tcga-atac,2,2048,131072,482.15830080118184
tcga-atac,2,2048,131072,542.299997170817
tcga-atac,2,2048,131072,627.829710333954
tcga-atac,2,2048,131072,606.0957257590356
tcga-atac,2,1048576,4,8815.216470732681
tcga-atac,2,1048576,4,9853.501603276358
tcga-atac,2,1048576,4,13626.024191396187
tcga-atac,2,1048576,4,20387.19117894227
tcga-atac,2,1048576,4,20365.656216522108
tcga-atac,1,16384,16384,882.0679288994448
tcga-atac,1,16384,16384,551.5475338944187
tcga-atac,1,16384,16384,488.02038166882926
tcga-atac,1,16384,16384,246.38288494560564
tcga-atac,1,16384,16384,343.6323506341494
tcga-atac,2,16384,16384,1142.971547096834
tcga-atac,2,16384,16384,604.2652984716433
tcga-atac,2,16384,16384,746.1911427648183
tcga-atac,2,16384,16384,611.2176029386187
tcga-atac,2,16384,16384,604.0845317498695
tcga-atac,2,1048576,8,380.0062682108939
tcga-atac,2,1048576,8,979.8527423413469
tcga-atac,2,1048576,8,418.065337984409
tcga-atac,2,1048576,8,502.40969707740607
tcga-atac,2,1048576,8,532.8384033219719
tcga-atac,2,1048576,16,524.8960050230455
tcga-atac,2,1048576,16,428.39609410401465
tcga-atac,2,1048576,16,415.9814322562014
tcga-atac,2,1048576,16,540.7749768741035
tcga-atac,2,1048576,16,474.1679071730352
tcga-atac,2,1048576,32,1071.6681148013326
tcga-atac,2,1048576,32,413.3034999259225
tcga-atac,2,1048576,32,558.2215527104839
tcga-atac,2,1048576,32,515.230202831781
tcga-atac,2,1048576,32,575.0791946094829
tcga-atac,2,1048576,128,2024.48306515233
tcga-atac,2,1048576,128,1647.4154457202085
tcga-atac,2,1048576,128,2047.5674833301687
tcga-atac,2,1048576,128,1982.2860125327318
tcga-atac,2,1048576,128,1156.8890937697875
tcga-atac,2,1048576,64,665.9618363714662
tcga-atac,2,1048576,64,1180.533068071099
tcga-atac,2,1048576,64,1262.8785856507786
tcga-atac,2,1048576,64,856.2088875586622
tcga-atac,2,1048576,64,715.8433430187005
tcga-atac,1,131072,2048,535.375604147116
tcga-atac,1,131072,2048,465.5025504885552
tcga-atac,1,131072,2048,295.3069170969725
tcga-atac,1,131072,2048,316.2022955967736
tcga-atac,1,131072,2048,337.75529346583227
tcga-atac,2,2048,262144,1124.1663661864116
tcga-atac,2,2048,262144,896.230643811917
tcga-atac,2,2048,262144,925.6734732660858
tcga-atac,2,2048,262144,702.8614771593635
tcga-atac,2,2048,262144,758.0119394491268
tcga-atac,4,2048,1024,9970.939374491274
tcga-atac,4,2048,1024,10567.828433182269
tcga-atac,4,2048,1024,10498.956336725136
tcga-atac,4,2048,1024,10401.549465173497
tcga-atac,4,2048,1024,10317.214370469308
tcga-atac,4,2048,2048,6595.4349495996075
tcga-atac,4,2048,2048,8564.211614422615
tcga-atac,4,2048,2048,7940.321677307512
tcga-atac,4,2048,2048,8544.075036871334
tcga-atac,4,2048,2048,8442.338442175065
tcga-atac,4,2048,512,4581.265406689921
tcga-atac,4,2048,512,3854.1135198641337
tcga-atac,4,2048,512,5288.181045050012
tcga-atac,4,2048,512,5346.536955537587
tcga-atac,4,2048,512,5456.781032983582
tcga-atac,2,1048576,256,561.7709930951746
tcga-atac,2,1048576,256,578.9208970817542
tcga-atac,2,1048576,256,567.9078239803785
tcga-atac,2,1048576,256,518.0681968475102
tcga-atac,2,1048576,256,564.4167990568242
tcga-atac,1,16384,32768,659.2109873734378
tcga-atac,1,16384,32768,278.1472193797967
tcga-atac,1,16384,32768,359.878389182918
tcga-atac,1,16384,32768,361.189242087379
tcga-atac,1,16384,32768,377.83527373863006
tcga-atac,1,2048,262144,557.204654973232
tcga-atac,1,2048,262144,350.70787392052785
tcga-atac,1,2048,262144,344.8213592816891
tcga-atac,1,2048,262144,336.67556541947624
tcga-atac,1,2048,262144,394.3759927139072
tcga-atac,1,1048576,512,564.7602466798983
tcga-atac,1,1048576,512,422.3252807655287
tcga-atac,1,1048576,512,377.5264262680802
tcga-atac,1,1048576,512,364.6554950975883
tcga-atac,1,1048576,512,418.4181657737815
tcga-atac,2,16384,32768,399.0149084747715
tcga-atac,2,16384,32768,577.6461673155917
tcga-atac,2,16384,32768,521.9875597834039
tcga-atac,2,16384,32768,445.2655486467303
tcga-atac,2,16384,32768,626.903890470049
tcga-atac,2,1048576,512,1072.9080934717726
tcga-atac,2,1048576,512,772.7019202496582
tcga-atac,2,1048576,512,831.6646160430004
tcga-atac,2,1048576,512,967.2228079524468
tcga-atac,2,1048576,512,974.2502670110191
tcga-atac,2,131072,4096,535.2535254322547
tcga-atac,2,131072,4096,595.1732112514048
tcga-atac,2,131072,4096,516.1576558705061
tcga-atac,2,131072,4096,604.3499256135324
tcga-atac,2,131072,4096,626.7716637039957
tcga-atac,1,131072,4096,526.424376169713
tcga-atac,1,131072,4096,377.0815444934231
tcga-atac,1,131072,4096,403.73022043907304
tcga-atac,1,131072,4096,376.72553052156854
tcga-atac,1,131072,4096,422.8452457181471
tcga-atac,4,2048,4096,681.0511399596808
tcga-atac,4,2048,4096,697.8208899145692
tcga-atac,4,2048,4096,643.6286670266592
tcga-atac,4,2048,4096,687.5822691737856
tcga-atac,4,2048,4096,876.3340873468798
tcga-atac,4,2048,16384,650.4975646150849
tcga-atac,4,2048,16384,662.0046319561809
tcga-atac,4,2048,16384,689.8101813692675
tcga-atac,4,2048,16384,762.4938331673161
tcga-atac,4,2048,16384,717.101175871387
tcga-atac,4,2048,8192,624.0793443964554
tcga-atac,4,2048,8192,921.6769080536097
tcga-atac,4,2048,8192,941.898202446725
tcga-atac,4,2048,8192,823.2452325414373
tcga-atac,4,2048,8192,836.4725878623387
tcga-atac,4,2048,32768,874.600971822777
tcga-atac,4,2048,32768,1083.6470163839515
tcga-atac,4,2048,32768,946.9094812674549
tcga-atac,4,2048,32768,716.830754466596
tcga-atac,4,2048,32768,777.4033299283866
tcga-atac,4,2048,65536,764.2398894046823
tcga-atac,4,2048,65536,699.7186389996936
tcga-atac,4,2048,65536,670.6287464316074
tcga-atac,4,2048,65536,716.9537470625255
tcga-atac,4,2048,65536,761.730436385987
tcga-atac,4,2048,131072,919.1339130131498
tcga-atac,4,2048,131072,915.6899578993479
tcga-atac,4,2048,131072,883.8150867718844
tcga-atac,4,2048,131072,501.87614172005937
tcga-atac,4,2048,131072,305.5643980082626
tcga-atac,2,2048,524288,429.9047470735355
tcga-atac,2,2048,524288,502.5664147541212
tcga-atac,2,2048,524288,482.2950662956027
tcga-atac,2,2048,524288,291.6493463758909
tcga-atac,2,2048,524288,683.9989273583159
tcga-atac,1,131072,16384,747.9802540497571
tcga-atac,1,131072,16384,1659.7412597444907
tcga-atac,1,131072,16384,1334.3064496763316
tcga-atac,1,131072,16384,1140.4164316606277
tcga-atac,1,131072,16384,392.73225747051777
tcga-atac,2,131072,8192,556.9728346751953
tcga-atac,2,131072,8192,557.5580369088069
tcga-atac,2,131072,8192,668.7199980025548
tcga-atac,2,131072,8192,322.70123370529404
tcga-atac,2,131072,8192,629.0625109567267
tcga-atac,4,2048,262144,607.3917132604463
tcga-atac,4,2048,262144,714.0069656006827
tcga-atac,4,2048,262144,1034.467609802524
tcga-atac,4,2048,262144,943.2765967677418
tcga-atac,4,2048,262144,843.0781058704086
tcga-atac,2,16384,65536,640.7928126028374
tcga-atac,2,16384,65536,633.8520061450017
tcga-atac,2,16384,65536,546.6645327394416
tcga-atac,2,16384,65536,316.218651140535
tcga-atac,2,16384,65536,574.9595739480752
tcga-atac,4,16384,256,11460.126854455875
tcga-atac,4,16384,256,11596.795607494587
tcga-atac,4,16384,256,11827.845191699374
tcga-atac,4,16384,256,11968.758374311246
tcga-atac,4,16384,256,11454.360059182422
tcga-atac,4,16384,128,9430.937969692948
tcga-atac,4,16384,128,9156.515178903652
tcga-atac,4,16384,128,9052.96488978702
tcga-atac,4,16384,128,9176.173620515738
tcga-atac,4,16384,128,9223.431230171798
tcga-atac,4,16384,64,7973.450653733187
tcga-atac,4,16384,64,8330.02322476828
tcga-atac,4,16384,64,8575.008282758185
tcga-atac,4,16384,64,8251.803533052434
tcga-atac,4,16384,64,8593.583608871231
tcga-atac,4,16384,512,1063.9448900954205
tcga-atac,4,16384,512,1039.2707419483027
tcga-atac,4,16384,512,1311.9657821559892
