dataset_norm,mode,dl_mode,threads,seqlen,batch_size,v027,v061,ratio
tcga-atac,haps,none,4,2048,2048,2567.080142323638,5159.732070312607,0.49752198512278745
tcga-atac,haps,none,16,2048,2048,2433.3724550797433,4627.178146903906,0.5258869180794213
tcga-atac,haps,none,32,2048,2048,2062.4216161071517,9051.293160619267,0.2278593323084948
tcga-atac,haps,none,1,2048,8192,1113.6405318829034,2321.549505330221,0.47969708564302066
tcga-atac,haps,none,4,2048,8192,3113.337554160567,4804.310355372473,0.648030065476316
tcga-atac,haps,none,16,2048,8192,3458.9789210502236,8929.087395278795,0.38738325294913556
tcga-atac,haps,none,32,2048,8192,1638.5715081691185,8622.091665785998,0.19004338757743244
tcga-atac,haps,none,1,2048,32768,1260.1874718428894,2646.016646719653,0.4762583309538819
tcga-atac,haps,none,4,2048,32768,3490.1745429189764,3362.440131715328,1.037988605358004
tcga-atac,haps,none,16,2048,32768,5354.737305269861,8782.5160000397,0.609704247079727
tcga-atac,haps,none,32,2048,32768,3835.812107479968,12691.37314572423,0.30223775342798637
tcga-atac,haps,none,1,2048,131072,1165.5286549522875,1630.3493524967932,0.7148950334891981
tcga-atac,haps,none,4,2048,131072,2389.230192475113,2949.866067844326,0.8099453119310909
tcga-atac,haps,none,16,2048,131072,5348.855220767625,10840.444765449463,0.4934165835903184
tcga-atac,haps,none,32,2048,131072,6710.096305753357,13717.59649178873,0.48915976714798254
tcga-atac,haps,none,1,2048,524288,1275.9009226858363,1483.9664691120183,0.8597909381667599
tcga-atac,haps,none,4,2048,524288,3731.252748020459,4771.216481560349,0.782033840309047
tcga-atac,haps,none,16,2048,524288,6065.335430398549,9430.139613061312,0.6431861753136394
tcga-atac,haps,none,32,2048,524288,5429.461507758549,14454.163368267275,0.37563305252785567
tcga-atac,haps,none,1,2048,2097152,1262.7833434037611,1557.0669508876456,0.8110013141592142
tcga-atac,haps,none,4,2048,2097152,3774.957703712227,4693.315633415872,0.8043264077180232
tcga-atac,haps,none,16,2048,2097152,6038.043820541866,11436.197718132715,0.5279765153909693
tcga-atac,haps,none,32,2048,2097152,6722.990667744171,14631.868486937714,0.4594758812755853
tcga-atac,haps,none,1,2048,4194304,1271.3582395216056,2221.790934987752,0.5722222642557565
tcga-atac,haps,none,4,2048,4194304,2610.5436277220615,4568.808583891482,0.5713838913992171
tcga-atac,haps,none,16,2048,4194304,6086.943987150648,9962.243891018321,0.6110013018892727
tcga-atac,haps,none,32,2048,4194304,7581.30083064483,14642.893507270754,0.5177460880174007
tcga-atac,haps,none,1,16384,2,48.99994056752229,385.3689400124703,0.12715072617408316
tcga-atac,haps,none,4,16384,2,46.970472485112616,333.2385557904613,0.14095149456429468
tcga-atac,haps,none,16,16384,2,35.32499037248004,358.64460463901474,0.09849580870744054
tcga-atac,haps,none,32,16384,2,30.672675035216326,337.3934927593759,0.09091068942782377
tcga-atac,haps,none,1,16384,8,190.57430487075476,956.4729526256173,0.1992469356792668
tcga-atac,haps,none,4,16384,8,190.69253260874945,1259.3606530020313,0.15142011317741388
tcga-atac,haps,none,16,16384,8,150.4394220558439,1296.122971956183,0.11606878769287772
tcga-atac,haps,none,32,16384,8,146.19960806329354,1160.6992983141781,0.1259582118087231
tcga-atac,haps,none,1,16384,32,606.0310161371287,1599.8196519072262,0.3788120838587327
tcga-atac,haps,none,4,16384,32,706.4345472769672,4089.148199666201,0.1727583625691614
tcga-atac,haps,none,16,16384,32,718.3822600596903,2407.272640464526,0.29842164447192226
tcga-atac,haps,none,32,16384,32,156.3117816497257,3801.4719198930034,0.041118752142229494
tcga-atac,haps,none,1,16384,128,1331.4934122822588,1935.630658963539,0.6878860934116563
tcga-atac,haps,none,4,16384,128,2300.4983717447703,5479.4996438515,0.41983730655519613
tcga-atac,haps,none,16,16384,128,2034.7365898861929,11122.123194318614,0.18294497861034067
tcga-atac,haps,none,32,16384,128,311.41716332985317,4561.130642444848,0.0682763086046858
tcga-atac,haps,none,1,16384,512,1946.9448626773967,2090.6374466243446,0.9312685304766919
tcga-atac,haps,none,4,16384,512,5047.516949946396,6850.863909728782,0.736770868091324
tcga-atac,haps,none,16,16384,512,1610.5432477346005,20242.41432958555,0.07956280419478873
tcga-atac,haps,none,32,16384,512,5026.313610741374,16747.036858309635,0.300131518982559
tcga-atac,haps,none,1,16384,2048,1340.3228447154465,1643.94332441297,0.8153096428637877
tcga-atac,haps,none,4,16384,2048,4144.507280049643,2923.0986131991976,1.4178472328422986
tcga-atac,haps,none,16,16384,2048,7011.054790188161,13915.008281967399,0.5038484094381646
tcga-atac,haps,none,32,16384,2048,6862.074789592302,16562.438351113935,0.41431549172412657
tcga-atac,haps,none,1,16384,8192,1439.5535229247255,1714.212581059772,0.8397753807376417
tcga-atac,haps,none,4,16384,8192,4954.123059433712,3540.402030481847,1.3993108739572886
tcga-atac,haps,none,16,16384,8192,9336.96575828652,16900.210899219644,0.5524762864774455
tcga-atac,haps,none,32,16384,8192,12545.206418556885,24526.269966580832,0.511500788161054
tcga-atac,haps,none,1,16384,32768,1459.0710174014507,1967.6887647749488,0.7415151438181483
tcga-atac,haps,none,4,16384,32768,5236.942568205556,4176.763362423971,1.2538279317711487
tcga-atac,haps,none,16,16384,32768,10554.270094571042,17565.1365989787,0.6008646750395726
tcga-atac,haps,none,32,16384,32768,15003.322787194018,28378.377333088018,0.5286885367367626
tcga-atac,haps,none,1,16384,131072,1337.9622112197678,3092.9147313140547,0.4325894269485152
tcga-atac,haps,none,4,16384,131072,4796.577179746406,5782.066300543728,0.8295610825658208
tcga-atac,haps,none,16,16384,131072,9895.45055823549,20875.33271224512,0.47402600450200183
tcga-atac,haps,none,32,16384,131072,13680.136523302606,36582.463560597986,0.37395339711448855
tcga-atac,haps,none,1,16384,524288,1449.4309706569456,2671.624885226995,0.5425278745798906
tcga-atac,haps,none,4,16384,524288,5261.767791510336,5353.416502192038,0.9828803324672805
tcga-atac,haps,none,16,16384,524288,10805.933241567056,20044.81374123865,0.5390887329292446
tcga-atac,haps,none,32,16384,524288,12782.935342258992,36759.098767432646,0.34774887771688934
tcga-atac,haps,none,1,131072,2,343.0801214258917,1358.3373171872784,0.25257358174942207
tcga-atac,haps,none,4,131072,2,336.6221550182973,2043.6915828082156,0.16471279612344847
tcga-atac,haps,none,16,131072,2,280.4695909921514,2011.3000200496529,0.13944691900576198
tcga-atac,haps,none,32,131072,2,210.73986038770312,1793.0177754765227,0.11753361470813957
tcga-atac,haps,none,1,131072,8,942.6983088448038,1868.2710902995213,0.5045832554705272
tcga-atac,haps,none,4,131072,8,1280.4926439349013,4384.085566961469,0.29207747530858247
tcga-atac,haps,none,16,131072,8,1110.9383442866972,6921.562139785949,0.16050399055162615
tcga-atac,haps,none,32,131072,8,325.7673172940626,6197.8389023165355,0.052561436724710954
tcga-atac,haps,none,1,131072,32,1697.5245942096053,2038.177093031407,0.8328641313914755
tcga-atac,haps,none,4,131072,32,2321.4924221862493,7197.128687417055,0.3225581371422441
tcga-atac,haps,none,16,131072,32,3726.5037795609687,16876.577641956595,0.22080921017402047
tcga-atac,haps,none,32,131072,32,586.1370584672683,14387.29306744529,0.04073991234623171
tcga-atac,haps,none,1,131072,128,1273.1514873906187,2045.542756737186,0.622402774616847
tcga-atac,haps,none,4,131072,128,4643.356527171259,7510.316120250754,0.6182637924721904
tcga-atac,haps,none,16,131072,128,5591.5599290752125,15298.353126691603,0.3655007753298236
tcga-atac,haps,none,32,131072,128,6173.29849937121,20106.050562090866,0.3070368534241484
tcga-atac,haps,none,1,131072,512,1410.931305589598,1667.0407788485195,0.8463688012264314
tcga-atac,haps,none,4,131072,512,4806.519256303648,2914.261901654887,1.6493092997490129
tcga-atac,haps,none,16,131072,512,9117.816102966472,15597.754833993196,0.5845595215470002
tcga-atac,haps,none,32,131072,512,11350.2696677761,26831.982273389338,0.42301271490600034
tcga-atac,haps,none,1,131072,2048,1440.470713823819,1630.7041848651243,0.8833427467673792
tcga-atac,haps,none,4,131072,2048,5230.95098651133,4109.954214780707,1.272751644701822
tcga-atac,haps,none,16,131072,2048,10376.155476362297,17566.718252510258,0.5906712527184501
tcga-atac,haps,none,32,131072,2048,9079.148997532944,30366.8418113271,0.2989823259838085
tcga-atac,haps,none,1,131072,8192,1486.9238861065085,1537.6271085241208,0.9670250204769871
tcga-atac,haps,none,4,131072,8192,5456.386676480024,6903.155200921241,0.7904192384015729
tcga-atac,haps,none,16,131072,8192,11288.490533736413,20942.267400645727,0.5390290515242082
tcga-atac,haps,none,32,131072,8192,18077.894251427973,42445.925626587836,0.4259041117506954
tcga-atac,haps,none,1,131072,32768,1457.9153702734745,1694.9795795555954,0.8601374245793117
tcga-atac,haps,none,4,131072,32768,5370.520851393669,6062.471443067146,0.8858632822980519
tcga-atac,haps,none,16,131072,32768,9784.078214037614,22211.49954927723,0.44049606791883583
tcga-atac,haps,none,32,131072,32768,11918.934033859832,46559.157948655346,0.25599548099653846
tcga-atac,haps,none,1,131072,65536,1567.7207031852763,2767.049188901778,0.5665677030510229
tcga-atac,haps,none,4,131072,65536,5450.528372596245,5933.05115750941,0.9186720673556911
tcga-atac,haps,none,16,131072,65536,9108.29358340132,23286.669132094186,0.39113767330717447
tcga-atac,haps,none,32,131072,65536,11141.570797295959,46901.832330236735,0.23755086408667228
tcga-atac,haps,none,1,1048576,2,1386.8737459864565,3990.265973514934,0.34756423636712896
tcga-atac,haps,none,4,1048576,2,1796.737986391317,6622.085700037758,0.2713250881638503
tcga-atac,haps,none,16,1048576,2,1343.0918328652745,6198.575276859344,0.21667750618103068
tcga-atac,haps,none,32,1048576,2,1324.8440843525123,4639.936727158773,0.28553063592394495
tcga-atac,haps,none,1,1048576,8,1990.789209343912,2466.4897033257407,0.8071346118573256
tcga-atac,haps,none,4,1048576,8,5092.101648095497,4907.004194471717,1.0377210710013887
tcga-atac,haps,none,16,1048576,8,4457.84978306096,15261.84654025385,0.29209111566566787
tcga-atac,haps,none,32,1048576,8,4231.635792661566,13761.720628695937,0.3074932202763773
tcga-atac,haps,none,1,1048576,32,1347.0673958010975,1592.9025766737893,0.8456684140808968
tcga-atac,haps,none,4,1048576,32,4260.509998940573,2587.687817375554,1.646454402394491
tcga-atac,haps,none,16,1048576,32,3020.503778439322,13134.261863325382,0.22997133831124786
tcga-atac,haps,none,32,1048576,32,6277.585474613754,20717.019945123368,0.30301585320872615
tcga-atac,haps,none,1,1048576,128,1443.8075892513052,1049.5950219474191,1.3755854010935227
tcga-atac,haps,none,4,1048576,128,3298.7466915777363,4038.9129012565713,0.8167412301838554
tcga-atac,haps,none,16,1048576,128,10512.935658106979,14458.375737291175,0.7271173366308304
tcga-atac,haps,none,32,1048576,128,10394.610053614058,28604.64450210433,0.3633888913686506
tcga-atac,haps,none,1,1048576,512,1445.0449949368283,1878.1218349447242,0.7694096133967571
tcga-atac,haps,none,4,1048576,512,5298.351648187041,4992.786833919373,1.0612012538151558
tcga-atac,haps,none,16,1048576,512,11328.185311057394,21089.116908329204,0.5371578791231081
tcga-atac,haps,none,32,1048576,512,11217.903114318646,40070.66512574172,0.2799530050004629
tcga-atac,haps,none,1,1048576,2048,1499.0191288551962,2392.180358440352,0.6266329892586039
tcga-atac,haps,none,4,1048576,2048,5730.406997621367,5659.8648653373675,1.0124635718276631
tcga-atac,haps,none,16,1048576,2048,11847.742879099264,21360.591235174383,0.5546542578648124
tcga-atac,haps,none,32,1048576,2048,14268.385855607114,43064.06292852261,0.33132930070461925
tcga-atac,haps,none,1,1048576,8192,1637.4966284799948,2743.4634026089575,0.5968720511900326
tcga-atac,haps,none,4,1048576,8192,5594.489567146896,5973.758081894083,0.9365109015886137
tcga-atac,haps,none,16,1048576,8192,12057.992010580563,25795.643353818457,0.46744296489103276
